docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,lineage_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1002652,Urban stormwater source control policies: why and how?,Stormwater management,,,,,none,none,no,0,0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,urban area,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Source control,,,,,none,none,yes,0,0,,
1002652,Urban stormwater source control policies: why and how?,Policy-making,,,,,none,none,no,0,0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Mixed convection,,,,,none,none,no,0,0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Poiseuille-Rayleigh-Bénard flow,,,,,none,none,no,0,0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,Convective instability,context,context,no,100,111,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Rectangular channel,,,,,none,none,no,0,0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Harmonic inlet excitation,,,,,none,none,no,0,0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,CVD,,,,,none,none,no,0,0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,3D numerical simulations,,,,,none,none,no,0,0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Design of experiments,Design of experiments,Q18465858,,Design of experiments,context,context,no,100,113,,
1015505,The impact of recent reforms on the institutional governance of French universities,France,France,Q142,152383070,France > sovereign state > state > community,context,context,no,100,113,Q20181813;Q3624078;Q51576574;Q6256;Q7270,country;sovereign state;Mediterranean country;republic;colonial power
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,university > type of educational institution > type > class,context,context,no,90,108,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,Governance,governance,Q1553864,,governance > type of regulation and control > type > class,context,context,no,90,142,Q11862829;Q1914636;Q96758092,academic discipline;type of regulation and control;activity
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Component mode synthesis,,,,,none,none,no,0,0,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Dynamic substructuring,dynamic substructuring,Q25112238,,dynamic substructuring,context,context,no,95.5,107.3,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Flexible interface,,,,,none,none,no,0,0,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,computational mechanics,context,context,no,95.7,113.4,,
1021415,A simple game generator for creating audio/tactile games,Tactile interface,,,,,none,none,no,0,0,,
1021415,A simple game generator for creating audio/tactile games,Computer game,Computer Gamer,Q868626,,Computer Gamer > magazine > periodical > serial,context,context,no,88.9,54.3,Q41298,magazine
1021415,A simple game generator for creating audio/tactile games,Game authoring tool,,,,,none,none,no,0,0,,
1021415,A simple game generator for creating audio/tactile games,Blind,Blind,Q60328,,Blind > album > release group > group,context,context,no,100,111,Q482994,album
1021415,A simple game generator for creating audio/tactile games,Visually disabled,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Security governance,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Neoliberalization,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Circulation of models,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,road closure,exact_label,exact_label,no,100,50,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Gated residential development,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,City Improvement District,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Southern Africa,Southern Africa,Q27394,162726316,Southern Africa > cultural region > region > geographical feature,context,context,no,100,143,Q3502482;Q82794,cultural region;region
1023779,Symposium on Circulation of Security Models in Southern African Cities,Johannesburg,Johannesburg,Q14714490,,Johannesburg > unincorporated community in the United States > unincorporated area > human settlement,context,context,no,100,115,Q17343829,unincorporated community in the United States
1023779,Symposium on Circulation of Security Models in Southern African Cities,Cape Town,Cape Town,Q5465,119432557,Cape Town > port city > maritime settlement > human settlement,context,context,no,100,116,Q105742469;Q108178728;Q15042037;Q1549591;Q2264924,national capital;big city;port city;statistical territorial entity;legislative capital
1023779,Symposium on Circulation of Security Models in Southern African Cities,Windhoek,Windhoek,Q32042422,,Windhoek > ravine > rock formation > natural geographic object,context,context,no,100,115,Q2042028,ravine
1023779,Symposium on Circulation of Security Models in Southern African Cities,Maputo,Maputo,Q3889,,Maputo > city > urban settlement > urban area,context,context,no,100,113,Q1549591;Q2264924;Q515;Q56036687,city;port city;municipality of Mozambique;big city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Néoliberalisation,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Transfert de politiques,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Sécurité,sécurité,Q1470670,,sécurité > distress signal > signal > sign,context,context,no,87.5,103.5,Q2355426,distress signal
1023779,Symposium on Circulation of Security Models in Southern African Cities,Mobilité des politiques urbaines,,,,,none,none,no,0,0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,urban renewal > redevelopment > construction > economic activity,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Business Improvement Districts,Business improvement districts,Q105547388,,Business improvement districts > business support scheme > government program > initiative,context,context,no,93.3,109,Q105547310,business support scheme
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Corrosion,Corrosion,Q5173028,,Corrosion > extended play > release group > group,context,context,no,100,112,Q169930,extended play
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Ni-MH batteries,,,,,none,none,no,0,0,,
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Raman micro spectroscopy,,,,,none,none,no,0,0,,
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",TEM,Tem,Q36531,12167223r,Tem > language > languoid > abstract entity,exact_label,exact_label,no,100,50,Q1288568;Q34770,modern language;language
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Combination of techniques,,,,,none,none,no,0,0,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Stability,Stability,Q7595719,,Stability > literary work > written work > intellectual work,context,context,no,100,111,Q7725634,literary work
1026130,Change and stability interaction processes in SMEs: a comparative case study,Small firms,,,,,none,none,no,0,0,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Mexico,Mexico,Q3710682,,Mexico > town in the United States > municipality in the United States > administrative territorial entity of the United States,context,context,no,100,141,Q15127012;Q486972,human settlement;town in the United States
1026130,Change and stability interaction processes in SMEs: a comparative case study,ISO 9000 series,ISO 9000 series,Q206008,,ISO 9000 series > ISO standard > international standard > technical standard,context,context,no,100,114,Q15087423,ISO standard
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,change management,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change,Change,Q1173443,15273058p,Change > commune of France > commune > political territorial entity,context,context,no,100,112,Q484170,commune of France
1026130,Change and stability interaction processes in SMEs: a comparative case study,Case studies,Case studies,Q135402362,,Case studies > chapter > part of a work > part,context,context,no,100,112,Q1980247,chapter
1052672,Belief functions in telecommunications and network technologies: an overview,THEORIE DES PROBABILITES,,,,,none,none,no,0,0,,
1052672,Belief functions in telecommunications and network technologies: an overview,TELECOMMUNICATION,Telecommunication,Q7695840,,Telecommunication > single > release group > group,exact_label,exact_label,no,100,50,Q134556,single
1052672,Belief functions in telecommunications and network technologies: an overview,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0,0,,
1052672,Belief functions in telecommunications and network technologies: an overview,INCERTITUDE,Incertitude,Q106179101,,"Incertitude > version, edition or translation > publication > release",exact_label,exact_label,no,100,50,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,TELECOMMUNICATION,Telecommunication,Q7695840,,Telecommunication > single > release group > group,exact_label,exact_label,no,100,50,Q134556,single
1053257,Belief functions and uncertainty management in networks and telecommunication,INCERTITUDE,Incertitude,Q106179101,,"Incertitude > version, edition or translation > publication > release",exact_label,exact_label,no,100,50,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0,0,,
