kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
france,Q334262,Guercino,none,0,0,1.1,3.76,1.0,0.0,26.4,0.0,0.007,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.28
france,Q734889,Francesco Bartolozzi,none,0,0,0.0,3.14,1.0,0.0,26.4,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.23
france,Q54182188,Giuseppe Francesco Tartarelli,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,2.26
france,Q1322641,France 3,none,0,0,1.6,3.61,2.0,0.0,29.4,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.18
france,Q100892121,Francesco Lacava,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.06
france,Q96691321,Francesco Santanastasio,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.06
france,Q207162,Bourbon Restoration in France,alias,0,1,2.2,3.97,2.0,0.0,39.1,0.0,0.286,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,43.67
france,Q19905,France Inter,none,0,0,1.6,2.83,1.0,0.0,19.5,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.89
france,Q56595814,Francesca Cavallari,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,2.56
france,Q200686,French Fifth Republic,alias,0,1,3.8,4.08,2.0,0.0,32.9,0.0,0.133,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,47.7
france,Q113017545,Francesco Lanni,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.06
france,Q29231,Frans Snyders,none,0,0,0.0,3.47,1.0,0.0,26.4,0.0,0.016,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,2.84
france,Q113164609,Francesca Pastore,none,0,0,0.5,0.0,1.0,0.0,26.4,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.72
france,Q374039,Ferdinand Bol,none,0,0,0.0,3.56,1.0,0.0,26.4,0.0,0.044,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,2.97
france,Q4273363,Frances Arnold,none,0,0,0.5,4.36,1.0,0.0,26.4,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.4
france,Q115698838,France national association football team match,none,0,0,0.5,0.0,0.0,6.0,0.0,42.9,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.6
