kw_norm,qid,label,ctx_sim,lbl_sim,canon,alias_exact_flag,penalty,exact_bonus,alias_bonus,total,p31_ids,p101_ids,p31_cnt,p101_cnt,p31_fuzzy_ctx
corrosion,Q63368467,corrosion prediction in residual co2 streams: shifting the paradigm,1.8,23.7,0.0,False,0,0.0,0.0,16.0,Q1298668;Q54875403,,2,0,37.1
corrosion,Q26377383,corrosion of commercial alloys in a chlorine-sulfur atmosphere at high temperatures,3.6,19.6,0.0,False,0,0.0,0.0,16.7,Q591041,,1,0,26.0
corrosion,Q26359712,corrosion studies in brines of the salton sea geothermal field,1.8,25.4,0.0,False,0,0.0,0.0,15.5,Q3099732,,1,0,27.4
corrosion,Q56613802,corrosion processes and mechanisms in the presence of monoethylene glycol (meg),3.6,20.5,0.0,False,0,0.0,0.0,17.2,Q187685,,1,0,31.5
corrosion,Q26369592,corrosion in geothermal brines of the salton sea known geothermal resource area,1.8,20.5,0.0,False,0,0.0,0.0,13.5,Q21481766,,1,0,26.7
corrosion,Q68749726,corrosion and environmental degradation ii,1.8,35.3,0.0,False,0,0.0,0.0,19.4,Q7725634,,1,0,26.0
corrosion,Q58460224,corrosion and erosion-corrosion processes of metal matrix composites in slurry conditions for oilsands application,3.6,14.6,0.0,False,0,0.0,0.0,14.9,Q187685,,1,0,31.5
corrosion,Q97612918,corrosion fatigue of structural steel in seawater,3.6,31.0,0.0,False,0,0.0,0.0,21.5,Q187685,,1,0,31.5
corrosion,Q27219557,corrosion engineering,1.8,60.0,0.0,False,0,0.0,0.0,29.3,Q7725634,,1,0,26.0
corrosion,Q56612978,corrosion and erosion-corrosion behaviour of lean duplex stainless steels in marine and oilfield environments,1.8,15.3,0.0,False,0,0.0,0.0,11.5,Q187685,,1,0,31.5
corrosion,Q112836283,corrosion fatigue of 2024-t4 aluminium alloy in contact with superphosphate fertilizer,1.8,18.9,0.0,False,0,0.0,0.0,13.0,Q187685,,1,0,31.5
corrosion,Q11743785,corrosion of metals,1.8,64.3,5.5,False,0,0.0,0.0,45.9,,,0,0,0.0
corrosion,Q16919268,corrosion under insulation,1.8,51.4,4.2,False,0,0.0,0.0,36.9,,,0,0,0.0
corrosion,Q5173030,corrosion in space,1.8,66.7,4.2,False,0,0.0,0.0,43.0,,,0,0,0.0
corrosion,Q12623189,corrosion science society of korea,1.8,41.9,2.2,False,0,0.0,0.0,28.8,Q955824,,1,0,30.3
corrosion,Q122761132,corrosion inhibitor composition and methods of inhibiting corrosion during acid pickling,3.6,18.6,0.0,False,0,0.0,0.0,16.1,Q43305660,,1,0,17.0
corrosion,Q585977,corrosion sous contrainte,1.8,52.9,10.9,False,0,0.0,0.0,57.5,,,0,0,0.0
corrosion,Q1493450,corrosion à haute température,1.8,47.4,9.1,False,0,0.0,0.0,49.8,,,0,0,0.0
corrosion,Q1272537,corrosion des aciers dans le béton,1.8,41.9,7.4,False,0,0.0,0.0,44.2,Q3249551,,1,0,27.1
corrosion,Q2367906,galvanic corrosion,1.8,66.7,12.0,False,0,0.0,0.0,66.4,,,0,0,0.0
corrosion,Q351261,eau d'alimentation de chaudière,1.8,100.0,9.7,True,0.0,0.0,1.0,122.7,,,0,0,0.0
corrosion,Q1417876,glass disease,0.0,62.1,9.7,False,0,0.0,0.0,53.9,,,0,0,0.0
corrosion,Q56614267,corrosion behaviour of x65 carbon steel under flowing conditions,1.8,24.7,0.0,False,0,0.0,0.0,15.3,Q187685,,1,0,31.5
corrosion,Q60349014,corrosion and tribo-corrosion behaviour of metallic orthopaedic implant materials,1.8,20.0,0.0,False,0,0.0,0.0,13.4,Q187685,,1,0,31.5
tem,Q29023906,temporary exhibition,0.0,26.1,6.5,False,0,0.0,0.0,29.9,,,0,0,0.0
tem,Q616667,temporal lobe epilepsy,0.0,24.0,11.4,False,0,0.0,0.0,46.9,Q112193867;Q929833,,2,0,42.1
tem,Q19887878,wikimedia infobox template,0.0,31.6,2.0,False,0,0.0,0.0,18.7,,,0,0,0.0
tem,Q877647,european route e80,0.0,100.0,11.7,True,0.0,0.0,1.0,115.8,Q34442,,1,0,34.3
tem,Q17911655,cyld,0.0,100.0,6.5,True,0.0,0.0,1.0,105.0,Q7187,,1,0,22.1
tem,Q744818,transmission electron microscope,0.0,100.0,12.9,True,0.0,0.0,1.0,115.8,,,0,0,0.0
tem,Q36531,tem,0.0,100.0,11.6,False,0,1.0,0.0,78.9,Q1288568;Q34770,,2,0,41.8
tem,Q21113782,tetraspanin-enriched microdomain,1.8,100.0,2.0,True,0.0,0.0,1.0,99.6,Q5058355,,1,0,23.4
tem,Q1756116,temnora,0.0,60.0,8.0,False,0,0.0,0.0,49.7,Q16521,,1,0,33.8
tem,Q492419,fcr 2001 duisburg,0.0,20.7,9.6,False,0,0.0,0.0,38.6,Q51481377,,1,0,15.7
tem,Q7698689,temple university beasley school of law,0.0,14.3,5.2,False,0,0.0,0.0,22.7,Q1321960,,1,0,19.6
tem,Q110779037,transmission electron microscopy,0.0,100.0,9.4,True,0.0,0.0,1.0,108.8,,,0,0,0.0
tem,Q43018,temple of ephesian artemis,0.0,20.7,14.5,False,0,0.0,0.0,58.0,Q19860854;Q267596;Q44539;Q66108498;Q93342462,,5,0,45.4
tem,Q6919004,template:merge,0.0,35.3,17.6,False,0,0.0,0.0,68.8,Q11266439,,1,0,38.0
tem,Q603255,percichthyidae,0.0,33.3,10.9,False,0,0.0,0.0,47.9,Q16521,,1,0,33.8
tem,Q739827,tém,0.0,66.7,7.4,False,0,0.0,0.0,50.9,Q41710,,1,0,38.5
tem,Q1053973,temptation,0.0,46.2,14.0,False,0,0.0,0.0,60.6,,,0,0,0.0
tem,Q19281,tem,0.0,100.0,8.7,False,0,1.0,0.0,69.0,Q5,,1,0,39.6
tem,Q13384512,template:infobox lighthouse,0.0,20.0,12.8,False,0,0.0,0.0,48.1,Q19887878,,1,0,26.1
tem,Q1517587,témiscouata,0.0,28.6,7.7,False,0,0.0,0.0,36.3,Q204613,,1,0,29.4
tem,Q999473,temora,0.0,66.7,8.2,False,0,0.0,0.0,54.2,Q3257686;Q3957,,2,0,37.8
tem,Q18047858,plxdc2,0.0,75.0,8.2,False,0,0.0,0.0,56.3,Q7187,,1,0,22.1
tem,Q5461410,template:wikisource,0.0,27.3,17.6,False,0,0.0,0.0,65.5,Q11266439,,1,0,38.0
tem,Q14888544,temperature homeostasis,0.0,23.1,2.0,False,0,0.0,0.0,17.3,Q2996394,,1,0,40.0
tem,Q68816637,temple,0.0,66.7,2.2,False,0,0.0,0.0,35.1,Q5124673,,1,0,29.2
tem,Q5829701,template:country data venezuela,0.0,17.6,15.6,False,0,0.0,0.0,55.0,Q108783631,,1,0,11.5
tem,Q7000262,template:country data mauritania,0.0,17.1,15.1,False,0,0.0,0.0,53.5,Q108783631,,1,0,11.5
tem,Q842400,temples of kwan tai,0.0,27.3,8.2,False,0,0.0,0.0,35.6,,,0,0,0.0
tem,Q5832631,template:country data european union,0.0,15.4,15.4,False,0,0.0,0.0,53.5,Q108783631,,1,0,11.5
tem,Q5621415,template:country data austria,0.0,18.8,16.1,False,0,0.0,0.0,57.1,Q108783631,,1,0,11.5
tem,Q18615962,temnaspis,0.0,50.0,6.7,False,0,0.0,0.0,41.8,Q16521,,1,0,33.8
tem,Q5621848,template:str left,0.0,30.0,17.5,False,0,0.0,0.0,66.5,Q11266439,,1,0,38.0
tem,Q5618588,template:hide in print,0.0,24.0,16.1,False,0,0.0,0.0,60.0,Q11266439,,1,0,38.0
tem,Q6091158,template:days of the week,0.0,21.4,16.6,False,0,0.0,0.0,60.2,Q11753321,,1,0,27.2
tem,Q6021960,template:smiley,0.0,33.3,16.1,False,0,0.0,0.0,63.7,Q11266439,,1,0,38.0
tem,Q622088,temnitztal,0.0,46.2,11.2,False,0,0.0,0.0,53.5,Q116457956,,1,0,18.9
tem,Q7670676,template:country data singapore,0.0,17.6,15.7,False,0,0.0,0.0,57.2,Q108783631;Q11266439,,2,0,38.3
tem,Q7169254,template:bcdb title,0.0,27.3,12.2,False,0,0.0,0.0,49.4,Q11266439,,1,0,38.0
tem,Q7668142,template:country data oman,0.0,20.7,15.2,False,0,0.0,0.0,55.1,Q108783631,,1,0,11.5
tem,Q5851699,template:country data nigeria,0.0,18.8,15.5,False,0,0.0,0.0,56.9,Q108783631;Q11266439,,2,0,38.3
tem,Q5617064,template:in use,0.0,33.3,17.1,False,0,0.0,0.0,66.7,Q11266439,,1,0,38.0
